names,group,analysis_type,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,lfc_logp
CHI3L1,all_fibroblasts,grouped,12.804278,1.489897558853538e-133,5.959590235414152e-133,0.28509463722397477,0.0020813835418932642,1100.9955405502778
GREM1,all_fibroblasts,grouped,5.7219048,9.322125791455517e-23,1.8644251582911033e-22,0.11790220820189275,0.00503362373933562,32.15041851846982
IL11,all_fibroblasts,grouped,9.194817,4.00181990281059e-09,5.3357598704141195e-09,0.06821766561514196,0.0004661431890698456,11.861184133427713
NEUROG3,all_fibroblasts,grouped,-19.270857,0.9802254801761742,0.9802254801761742,0.0,0.00028546753439161085,0.0001098422674056918
CHI3L1,fibroblast of gingiva,individual,27.361343,1.5617816060528807e-212,6.247126424211523e-212,0.7579505300353356,0.0031215353648429006,10012.59592466936
GREM1,fibroblast of gingiva,individual,7.2799735,8.531644193119078e-28,1.7063288386238157e-27,0.2703180212014134,0.005521888421256579,118.15912338306008
CHI3L1,fibroblast,individual,7.156506,4.601278095326627e-29,1.8405112381306509e-28,0.18147590361445784,0.003806481091718925,80.89138447121405
IL11,fibroblast,individual,7.7202225,1.3728069252123942e-07,2.7456138504247885e-07,0.08433734939759036,0.000683583560894703,9.750523316224797
GREM1,muscle fibroblast,individual,5.4810987,7.344583060083892e-05,0.0002937833224033557,0.13898305084745763,0.005917986952469711,5.896399872065386
IL11,fibroblast of gingiva,individual,8.030487,0.0012134643050189583,0.0016179524066919444,0.07950530035335689,0.0009221087227179603,4.0518350278624276
GREM1,fibroblastic reticular cell,individual,6.933449,0.08737785386752563,0.1756599632821758,0.3333333333333333,0.0060479972499337545,3.922763203723788
CHI3L1,fibroblastic reticular cell,individual,4.892082,0.0878299816410879,0.1756599632821758,0.3333333333333333,0.004640736788581496,2.7836482252102357
GREM1,fibroblast,individual,3.7581527,5.144621675719117e-05,6.859495567625489e-05,0.07003012048192771,0.005752895336161211,2.30261757268991
CHI3L1,muscle fibroblast,individual,2.412913,0.013111832048932494,0.026223664097864988,0.08813559322033898,0.004563051114775253,0.7308879935149122
IL11,muscle fibroblast,individual,6.040121,0.11351522649418587,0.15135363532558116,0.05423728813559322,0.0010251630941286113,0.6062393478411449
CHI3L1,myofibroblast cell,individual,4.5855575,0.03431213064663177,0.1372485225865271,0.07100591715976332,0.004570924617386722,0.6022409445561274
GREM1,myofibroblast cell,individual,4.0000706,0.5092024014983405,0.9928086507722121,0.026627218934911243,0.006033620494950473,0.0005909466145829711
IL11,myofibroblast cell,individual,-21.478764,0.9725140857005252,0.9928086507722121,0.0,0.0010826817525104236,0.00016765491821355653
NEUROG3,fibroblast,individual,-19.26457,0.9857207357808828,0.9857207357808828,0.0,0.000284226849003587,7.872743647118475e-05
NEUROG3,fibroblast of gingiva,individual,-19.260618,0.9906903396449632,0.9906903396449632,0.0,0.0002834497630144703,5.1048912234234545e-05
NEUROG3,myofibroblast cell,individual,-19.25944,0.9928086507722121,0.9928086507722121,0.0,0.0002832180743321969,3.935666153462715e-05
NEUROG3,muscle fibroblast,individual,-19.259216,0.9932821498189524,0.9932821498189524,0.0,0.0002831744211054556,3.67504626127855e-05
IL11,fibroblastic reticular cell,individual,-21.47706,0.9955166694387987,0.9988272024814229,0.0,0.0010814062578330338,2.72252354956607e-05
NEUROG3,fibroblastic reticular cell,individual,-19.257738,0.9988272024814229,0.9988272024814229,0.0,0.0002828844184397671,6.391006560067843e-06
